name,parameters,example,description,notes,version,scope
promote_leader,<bool> boolean,promote_leader = yes,promotes the current unit leader to field marshal (if commander.,,1.5,unit leader
demote_leader,<bool> boolean,demote_leader = yes,demotes the current unit leader to commander (if field marshal).,,1.5,unit leader
retire,<bool> boolean>,retire = yes,retires the current unit leader (removing them).,,1.5,unit leader
remove_unit_leader,<id> the id of the unit leader.,remove_unit_leader = 70,removes the specified unit leader by their id.,,1,unit leader
set_nationality,<scope> / <variable> the target country.,set_nationality = ger,"switches the current unit leader to the specified country, giving them the leader.",,1.5,unit leader
add_unit_leader_trait,<trait> the trait to add.,add_unit_leader_trait = old_guard,adds the specified trait to the current unit leader.,traits are found in /hearts of iron iv/common/unit_leader/*.txt.,1,unit leader
remove_unit_leader_trait,<trait> the trait to remove.,remove_unit_leader_trait = old_guard,removes the specified trait from the current unit leader.,traits are found in /hearts of iron iv/common/unit_leader/*.txt.,1,unit leader
add_timed_unit_leader_trait,<trait> the trait to add. days = <int> the duration of the trait.,add_timed_unit_leader_trait = {     trait = wounded     days = 90 },adds the specified trait to the current unit leader for the specified duration.,traits are found in /hearts of iron iv/common/unit_leader/*.txt.,1.5,unit leader
supply_units,<int> / <variable> the amount of hours of supply.,supply_units = 24,adds the specified amount of hours of supply to troops led by the current unit leader.,,1.5,unit leader
add_max_trait,<int> the amount to add.,add_max_trait = 1,adds the specified amount of assignable trait slots to the current unit leader.,,1.5,unit leader
add_skill_level,<int> the skill to add.,add_skill_level = 1,adds skill to the current unit leader.,,1.5,unit leader
add_logistics,<int> the skill to add.,add_logistics = 1,adds logistics skill to the current unit leader.,,1.5,unit leader
add_planning,<int> the skill to add.,add_planning = 1,adds planning skill to the current unit leader.,,1.5,unit leader
add_defense,<int> the skill to add.,add_defense = 1,adds defense skill to the current unit leader.,,1.5,unit leader
add_attack,<int> the skill to add.,add_attack = 1,adds attack skill to the current unit leader.,,1.5,unit leader
add_temporary_buff_to_units,combat_offense = <float> the bonus to grant. optional. combat_breakthrough = <float> the bonus to grant. optional. combat_defense = <float> the bonus to grant. optional. combat_entrenchment = <float> the bonus to grant. optional. org_damage_multiplier = <float> the bonus to grant. optional. str_damage_multiplier = <float> the bonus to grant. optional. war_support_reduction_on_damage = <float> the bonus to grant. optional. cannot_retreat_while_attacking = <float> the bonus to grant. optional. cannot_retreat_while_defending = <float> the bonus to grant. optional. days = <int> the duration of the buff. optional. tooltip = <string> the tooltip to display for the buff.,"add_temporary_buff_to_units = {     combat_offense = 0.25     combat_breakthrough = 0.25     org_damage_multiplier = -1.0     str_damage_multiplier = 0.25     war_support_reduction_on_damage = 0.2     cannot_retreat_while_attacking = 1.0 				     days = 7     tooltip = ability_force_attack_tooltip }",adds the specified combat buff to the current unit leader.,,1.5,unit leader
boost_planning,<float> the amount to add.,boost_planning = 1,improves the planning of units controlled by the current unit leader.,,1.5,unit leader
