name,parameters,examples,description,notes,version,scope
num_claimed_peace_conference_neighbour_states,!scope.owner !%int.count,num_claimed_peace_conference_neighbour_states = {     owner = ger     count > 2 } ,checks if the current scope has the specified amount of neighbor states claimed by the specified country in a peace conference.,must use either > or < operators for count.,1,state
distance_to,!%float.distance !scope.state,distance_to = {     value > 1000     target = 49 } ,checks if the current scope is at the specified distance from the specified state.,must use either > or < operators for distance.,1,state
ships_in_area,!int.area !%int.size,checks if the current scope has the specified amount of ships in the specified strategic region.,must use either > or < operators for count.,1,state
any_neighbor_state,#trigger,any_neighbor_state = { is_coastal = yes },returns true if this has at least one adjacent state that fulfills the sub-triggers; false otherwise. evaluation stops early if any neighbor passes the check.,,,state
all_neighbor_state,#trigger,all_neighbor_state = { is_coastal = yes },returns false if this has no adjacent states or at least one of them fails the sub-triggers; true otherwise. evaluation stops early if any neighbor fails the check.,,,state
has_id,!int.id,has_id = 1,checks if the current scope has the specificed unit leader id.,,1.5,unit leader
has_unit_leader_flag,!string,has_unit_leader_flag = my_flag,checks if the current scope has the specified flag.,,1.5,unit leader
has_unit_leader_flag,!string.flag £%int.value £%date.date £%int.days,has_unit_leader_flag = {     flag = my_flag     days > 30     date > 1936.6.1     value > 0 } ,"compares the specified flag's last set date, days since last set, and/or value. ","if not set, the value comparison is >0. value is limited between -32768 and 32767. ",1,unit leader
is_leading_army,!boolean,is_leading_army = yes,checks if the current scope is leading a single army.,,1.5,unit leader
is_leading_army_group,!boolean,is_leading_army_group = yes,checks if the current scope is leading an army group.,,1.5,unit leader
is_field_marshal,!boolean,is_field_marshal = yes,checks if the current scope is a field marshal.,,1.5,unit leader
is_assigned,!boolean,is_assigned = yes,checks if the current scope is an assigned unit leader.,,1.5,unit leader
has_trait,!string,has_trait = offensive_doctrine,checks if the current scope has the specified trait.,,1.5,unit leader
can_select_trait,!string,can_select_trait = offensive_doctrine,checks if the current scope can select the specified trait.,,1.5,unit leader
has_ability,!string,has_ability = glider_planes,checks if the current scope has the specified unit leader ability.,,1.5,unit leader
skill,!%int,skill > 1,checks if the current scope has a skill above the specified amount.,must use either > or < operators.,1,unit leader
skill_advantage,!%int,skill_advantage > 1,checks if the current scope has a skill advantage above the specified amount in against an enemy unit leader whilst in combat.,must use either > or < operators.,1,unit leader
planning_skill_level,!%int,planning_skill_level > 1,checks if the current scope has a planning skill above the specified amount.,must use either > or < operators.,1.5,unit leader
logistics_skill_level,!%int,logistics_skill_level > 1,checks if the current scope has a logistics skill above the specified amount.,must use either > or < operators.,1.5,unit leader
defense_skill_level,!%int,defense_skill_level > 1,checks if the current scope has a defense skill above the specified amount.,must use either > or < operators.,1.5,unit leader
attack_skill_level,!%int,attack_skill_level > 1,checks if the current scope has a attack skill above the specified amount.,must use either > or < operators.,1.5,unit leader
average_stats,!%int,average_stats > 5,checks if the current scope has an average skill above the specified amount.,must use either > or < operators.,1.5,unit leader
is_border_war,!boolean,is_border_war = yes,checks if the current socpe is in a border war.,,1.5,unit leader
num_units,!%int,num_units > 5,checks if the current scope is commanding the specified amount of divisions.,must use either > or < operators.,1.5,unit leader
hardness,!%float,hardness > 0.5,checks if the current scope has the specified amount of hardness.,must use either > or < operators.,1,unit leader combat
armor,!%float,armor > 0.5,checks if the current scope has the specified amount of armor units.,must use either > or < operators.,1,unit leader combat
dig_in,!%float,dig_in > 0.5,checks if the current scope has the specified amount of dig in bonus.,must use either > or < operators.,1,unit leader combat
min_planning,!%float,min_planning > 0.5,checks if the current scope has the specified amount of planning.,must use either > or < operators.,1,unit leader combat
fastest_unit,!%float,fastest_unit > 12,checks if the current scope has a unit with the specified speed.,must use either > or < operators.,1,unit leader combat
temperature,!%float,temperature > 20,checks if the current scope is in a province with a temperature above the specified amount.,must use either > or < operators.,1,unit leader combat
reserves,!%float,reserves > 10,checks if the current scope has the specified amount of reserves waiting.,must use either > or < operators.,1,unit leader combat
has_cavalry_ratio,!%float,has_cavalry_ratio > 0.5,checks if the current scope has the specified ratio of cavalry in their division composition.,must use either > or < operators.,1,unit leader combat
has_combat_modifier,!string,has_combat_modifier = river_crossing,checks if the current scope has the specified combat modifier.,,1,unit leader combat
is_fighting_in_terrain,!string,is_fighting_in_terrain = desert,checks if the current scope is fighting in the specified terrain.,,1,unit leader combat
phase,!boolean,phase = yes,checks if the current scope is in phase.,,1,unit leader combat
recon_advantage,!boolean,recon_advantage = yes,checks if the current scope has a recon advantage.,,1,unit leader combat
night,!boolean,night = yes,checks if the current scope is fighting at night.,,1,unit leader combat
frontage_full,!boolean,frontage_full = yes,checks if the current scope has a full combat width.,,1,unit leader combat
has_flanked_opponent,!boolean,has_flanked_opponent = yes,checks if the current scope has flanked their opponent.,,1,unit leader combat
has_max_planning,!boolean,has_max_planning = yes,checks if the current scope has the maximum planning bonus.,,1,unit leader combat
has_reserves,!boolean,has_reserves = yes,checks if the current scope has any reserves waiting.,,1,unit leader combat
is_amphibious_invasion,!boolean,is_amphibious_invasion = yes,checks if the current scope is performing an amphibious invasion.,,1,unit leader combat
is_attacker,!boolean,is_attacker = yes,checks if the current scope is attacking.,,1,unit leader combat
is_defender,!boolean,is_defender = yes,checks if the current scope is defending.,,1,unit leader combat
is_winning,!boolean,is_winning = yes,checks if the current scope is winning their battle.,,1,unit leader combat
is_fighting_air_units,!boolean,is_fighting_air_units = yes,checks if the current scope is fighting air units.,,1,unit leader combat
less_combat_width_than_opponent,!boolean,less_combat_width_than_opponent = yes,checks if the current scope is fighting with less combat width than their opponent.,,1,unit leader combat
has_carrier_airwings_on_mission,!boolean,has_carrier_airwings_on_mission = yes,checks if the current scope has carrier airwings on a mission.,,1,unit leader combat
has_carrier_airwings_in_own_combat,!boolean,has_carrier_airwings_in_own_combat = yes,checks if the current scope has carrier airwings in their own combat.,,1,unit leader combat
has_variable,!variable,has_variable = my_var,checks if the specified variables exists for the current scope.,,1.5,any variables
check_variable,!variable.variable !float/variable.value !type.compare, can use < or > instead.  ,check_variable = {     var = my_var     value = 10     compare = greater_than_or_equals }  check_variable = {     my_var > 10 } ,check the specified variable for the current scope.,possible compare types: less_than less_than_or_equals greater_than greater_than_or_equals equals not_equals,1.5,any variables
print_variables,print_global = !boolean.print_global !list.var_list !string.file !string.text !boolean.append?,print_variables = {     var_list = { myvar1 myvar2 }     file = ""my_dump_file""     text = ""my header"" } ",dumps the specified variables from the current scope and optionally the global scope into logs/variable_dumps/<file>.log. evaluates to true.,see variables#debugging,,any variables
